model,feature_set,detector,snr_db,channel,Pd,Pfa_achieved,threshold
RF,FS2_freq,RF_FS2_freq,-10,awgn,1.0,0.1,0.3511483057966379
RF,FS2_freq,RF_FS2_freq,-10,rayleigh,0.8333333333333334,0.1,0.37122545182465644
RF,FS2_freq,RF_FS2_freq,-10,rician,0.7333333333333333,0.1,0.30295049194670104
RF,FS2_freq,RF_FS2_freq,-5,awgn,1.0,0.1,0.3138140890540515
RF,FS2_freq,RF_FS2_freq,-5,rayleigh,0.8666666666666667,0.1,0.4950970964180818
RF,FS2_freq,RF_FS2_freq,-5,rician,1.0,0.1,0.30533552221945526
RF,FS2_freq,RF_FS2_freq,0,awgn,1.0,0.1,0.3363706724791483
RF,FS2_freq,RF_FS2_freq,0,rayleigh,1.0,0.1,0.2892809161053107
RF,FS2_freq,RF_FS2_freq,0,rician,1.0,0.1,0.5117487228663157
RF,FS2_freq,RF_FS2_freq,5,awgn,1.0,0.1,0.30057776206877446
RF,FS2_freq,RF_FS2_freq,5,rayleigh,1.0,0.1,0.3867541106797166
RF,FS2_freq,RF_FS2_freq,5,rician,1.0,0.1,0.3497858690396238
RF,FS2_freq,RF_FS2_freq,10,awgn,1.0,0.1,0.3791878464676145
RF,FS2_freq,RF_FS2_freq,10,rayleigh,1.0,0.1,0.29440557500536924
RF,FS2_freq,RF_FS2_freq,10,rician,1.0,0.1,0.4579991481397847
MLP,FS2_freq,MLP_FS2_freq,-20,awgn,0.16666666666666666,0.1,0.4748223429022475
MLP,FS2_freq,MLP_FS2_freq,-20,rayleigh,0.23333333333333334,0.1,0.34940353233258975
MLP,FS2_freq,MLP_FS2_freq,-20,rician,0.26666666666666666,0.1,0.34926100498938206
MLP,FS2_freq,MLP_FS2_freq,-15,awgn,0.36666666666666664,0.1,0.3994293278356281
MLP,FS2_freq,MLP_FS2_freq,-15,rayleigh,0.3,0.1,0.45045437814515304
MLP,FS2_freq,MLP_FS2_freq,-15,rician,0.4,0.1,0.538977328177227
MLP,FS2_freq,MLP_FS2_freq,-10,awgn,1.0,0.1,0.3823835348451728
MLP,FS2_freq,MLP_FS2_freq,-10,rayleigh,0.8666666666666667,0.1,0.3452106918192532
MLP,FS2_freq,MLP_FS2_freq,-10,rician,0.7666666666666667,0.1,0.29617006817263253
MLP,FS2_freq,MLP_FS2_freq,-5,awgn,1.0,0.1,0.3253235285010079
MLP,FS2_freq,MLP_FS2_freq,-5,rayleigh,0.8666666666666667,0.1,0.5435265185160782
MLP,FS2_freq,MLP_FS2_freq,-5,rician,1.0,0.1,0.30961670585268863
MLP,FS2_freq,MLP_FS2_freq,0,awgn,1.0,0.1,0.46894293990068237
MLP,FS2_freq,MLP_FS2_freq,0,rayleigh,1.0,0.1,0.414813023721236
MLP,FS2_freq,MLP_FS2_freq,0,rician,1.0,0.1,0.4949338344007039
MLP,FS2_freq,MLP_FS2_freq,5,awgn,1.0,0.1,0.4658817299357024
MLP,FS2_freq,MLP_FS2_freq,5,rayleigh,1.0,0.1,0.33833833393166524
MLP,FS2_freq,MLP_FS2_freq,5,rician,1.0,0.1,0.37038722034524474
MLP,FS2_freq,MLP_FS2_freq,10,awgn,1.0,0.1,0.5354743417599303
MLP,FS2_freq,MLP_FS2_freq,10,rayleigh,1.0,0.1,0.4242225250506662
MLP,FS2_freq,MLP_FS2_freq,10,rician,1.0,0.1,0.4249314442993829
SVM,FS3_corr,SVM_FS3_corr,-20,awgn,0.16666666666666666,0.1,0.407100762989158
