model,training,snr_db,channel,threshold,n_h0,n_h1_all,n_h1_16qam,n_h1_fsk,Pd_all,Pd_16qam_only,Pd_fsk_only
RF,matched,5,rician,0.32471827618419374,30,30,9,13,1.0,1.0,1.0
RF,matched,10,awgn,0.3526969657562982,30,30,12,6,1.0,1.0,1.0
RF,matched,10,rayleigh,0.31121362356101817,30,30,13,6,1.0,1.0,1.0
RF,matched,10,rician,0.3703028950401792,30,30,7,9,1.0,1.0,1.0
MLP,matched,-20,awgn,0.34785446014236293,30,30,6,7,0.3,0.5,0.2857142857142857
MLP,matched,-20,rayleigh,0.37956668976628516,30,30,9,7,0.23333333333333334,0.3333333333333333,0.2857142857142857
MLP,matched,-20,rician,0.48745197091729914,30,30,13,1,0.16666666666666666,0.38461538461538464,0.0
MLP,matched,-15,awgn,0.3797531859236942,30,30,4,11,0.6666666666666666,0.75,0.5454545454545454
MLP,matched,-15,rayleigh,0.40803317146689116,30,30,8,8,0.4666666666666667,0.375,0.5
MLP,matched,-15,rician,0.49351494102801385,30,30,5,11,0.3,0.4,0.36363636363636365
MLP,matched,-10,awgn,0.37030745775689855,30,30,5,7,1.0,1.0,1.0
MLP,matched,-10,rayleigh,0.3361384265959729,30,30,10,6,0.8333333333333334,0.8,1.0
MLP,matched,-10,rician,0.287635479657383,30,30,12,9,0.9333333333333333,0.9166666666666666,0.8888888888888888
MLP,matched,-5,awgn,0.26400059191411446,30,30,7,4,1.0,1.0,1.0
MLP,matched,-5,rayleigh,0.4433876711078737,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
MLP,matched,-5,rician,0.401405955726255,30,30,6,8,1.0,1.0,1.0
MLP,matched,0,awgn,0.3199466185649992,30,30,5,7,1.0,1.0,1.0
MLP,matched,0,rayleigh,0.29514287867009475,30,30,5,10,1.0,1.0,1.0
MLP,matched,0,rician,0.4147643399218514,30,30,7,6,1.0,1.0,1.0
MLP,matched,5,awgn,0.4576406024438616,30,30,6,10,1.0,1.0,1.0
MLP,matched,5,rayleigh,0.2545825083775494,30,30,4,12,1.0,1.0,1.0
MLP,matched,5,rician,0.4057054138165505,30,30,9,13,1.0,1.0,1.0
MLP,matched,10,awgn,0.4718626700772182,30,30,12,6,1.0,1.0,1.0
MLP,matched,10,rayleigh,0.3412042979998908,30,30,13,6,1.0,1.0,1.0
MLP,matched,10,rician,0.34088978886846505,30,30,7,9,1.0,1.0,1.0
LOGREG,config1_no_16qam,-20,awgn,0.3246488655022003,30,30,6,7,0.2,0.3333333333333333,0.0
LOGREG,config1_no_16qam,-20,rayleigh,0.34012455264088254,30,30,9,7,0.3,0.3333333333333333,0.42857142857142855
LOGREG,config1_no_16qam,-20,rician,0.3763450548668896,30,30,13,1,0.26666666666666666,0.5384615384615384,0.0
LOGREG,config1_no_16qam,-15,awgn,0.34570623302890147,30,30,4,11,0.5666666666666667,0.75,0.45454545454545453
LOGREG,config1_no_16qam,-15,rayleigh,0.31863738153718973,30,30,8,8,0.5666666666666667,0.375,0.75
LOGREG,config1_no_16qam,-15,rician,0.3530587033978492,30,30,5,11,0.4666666666666667,0.8,0.36363636363636365
LOGREG,config1_no_16qam,-10,awgn,0.36347800255843504,30,30,5,7,1.0,1.0,1.0
LOGREG,config1_no_16qam,-10,rayleigh,0.30925873745130483,30,30,10,6,0.7666666666666667,0.8,0.8333333333333334
LOGREG,config1_no_16qam,-10,rician,0.2962707044032148,30,30,12,9,0.9333333333333333,0.9166666666666666,0.8888888888888888
LOGREG,config1_no_16qam,-5,awgn,0.2385986046107809,30,30,7,4,1.0,1.0,1.0
LOGREG,config1_no_16qam,-5,rayleigh,0.3190232101902704,30,30,7,7,0.9,0.8571428571428571,0.8571428571428571
LOGREG,config1_no_16qam,-5,rician,0.37942540412342457,30,30,6,8,1.0,1.0,1.0
LOGREG,config1_no_16qam,0,awgn,0.3708290299955158,30,30,5,7,1.0,1.0,1.0
LOGREG,config1_no_16qam,0,rayleigh,0.2147401696644198,30,30,5,10,0.9666666666666667,1.0,0.9
LOGREG,config1_no_16qam,0,rician,0.30032126055588393,30,30,7,6,1.0,1.0,1.0
LOGREG,config1_no_16qam,5,awgn,0.4139686462457628,30,30,6,10,1.0,1.0,1.0
LOGREG,config1_no_16qam,5,rayleigh,0.28787637456766957,30,30,4,12,1.0,1.0,1.0
LOGREG,config1_no_16qam,5,rician,0.29311972211854387,30,30,9,13,1.0,1.0,1.0
LOGREG,config1_no_16qam,10,awgn,0.32666595254185227,30,30,12,6,1.0,1.0,1.0
LOGREG,config1_no_16qam,10,rayleigh,0.31181944208866985,30,30,13,6,1.0,1.0,1.0
LOGREG,config1_no_16qam,10,rician,0.36747882524025693,30,30,7,9,1.0,1.0,1.0
DTREE,config1_no_16qam,-20,awgn,0.2976629766297663,30,30,6,7,0.0,0.0,0.0
DTREE,config1_no_16qam,-20,rayleigh,0.2976629766297663,30,30,9,7,0.03333333333333333,0.0,0.14285714285714285
DTREE,config1_no_16qam,-20,rician,0.2976629766297663,30,30,13,1,0.06666666666666667,0.15384615384615385,0.0
DTREE,config1_no_16qam,-15,awgn,0.2976629766297663,30,30,4,11,0.16666666666666666,0.25,0.0
DTREE,config1_no_16qam,-15,rayleigh,0.2976629766297663,30,30,8,8,0.2,0.25,0.125
DTREE,config1_no_16qam,-15,rician,0.2976629766297663,30,30,5,11,0.36666666666666664,0.6,0.36363636363636365
DTREE,config1_no_16qam,-10,awgn,0.2976629766297663,30,30,5,7,0.9666666666666667,0.8,1.0
DTREE,config1_no_16qam,-10,rayleigh,0.2976629766297663,30,30,10,6,0.6333333333333333,0.5,0.6666666666666666
DTREE,config1_no_16qam,-10,rician,0.2976629766297663,30,30,12,9,0.7666666666666667,0.8333333333333334,0.6666666666666666
DTREE,config1_no_16qam,-5,awgn,0.2976629766297663,30,30,7,4,1.0,1.0,1.0
DTREE,config1_no_16qam,-5,rayleigh,0.2976629766297663,30,30,7,7,0.8333333333333334,0.8571428571428571,0.7142857142857143
